training_name,duration,level,source_url,scraped_at
Prompt Engineering for Human Resources,23m 44s,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-human-resources,2026-09-19T00:00:00Z
Prompt Engineering for Cyber Security,15m,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-cyber-security,2026-09-19T00:00:00Z
Prompt Engineering for Sales Professionals,19m,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-sales-professionals,2026-09-19T00:00:00Z
Prompt Engineering for Customer Support,25m,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-customer-support,2026-09-19T00:00:00Z
Prompt Engineering for Marketing,26m,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-marketing,2026-09-19T00:00:00Z
Prompt Engineering for IT Administrators,19m,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-it-administrators,2026-09-19T00:00:00Z
Prompt Engineering for Web Developers,36m,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-web-developers,2026-09-19T00:00:00Z
Prompt Engineering for Business Professionals,23m,Beginner,https://app.pluralsight.com/library/courses/business-professionals-prompt-engineering,2026-09-19T00:00:00Z
Prompt Engineering for Operations,NA,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-operations,2026-09-19T00:00:00Z
Prompt Engineering for Product Management and Design,NA,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-product-management-design,2026-09-19T00:00:00Z
Prompt Engineering for Communications,NA,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-communications,2026-09-19T00:00:00Z
Prompt Engineering for Finance,NA,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-finance,2026-09-19T00:00:00Z
Prompt Engineering for Data Professionals,NA,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-data-professionals,2026-09-19T00:00:00Z
Advanced Prompt Engineering,NA,Beginner,https://app.pluralsight.com/library/courses/advanced-prompt-engineering,2026-09-19T00:00:00Z
ChatGPT Prompt Engineering and Evaluation,NA,Beginner,https://app.pluralsight.com/code-labs/contents/fdb2115a-88fd-440e-bb19-ff1aafb673a4/learn,2026-09-19T00:00:00Z
Prompt Engineering Best Practices,NA,Beginner,https://app.pluralsight.com/code-labs/contents/ff25fd91-fdf8-4bbb-a978-fcb02af77cc4/learn,2026-09-19T00:00:00Z
Prompt Engineering for Improved Performance,NA,Beginner,https://app.pluralsight.com/library/courses/improved-performance-prompt-engineering,2026-09-19T00:00:00Z
Prompt Engineering Best Practices,NA,Beginner,https://app.pluralsight.com/library/courses/best-practices-prompt-engineering,2026-09-19T00:00:00Z
Getting Started on Prompt Engineering with Generative AI,NA,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-generative-ai-getting-started,2026-09-19T00:00:00Z
Generative AI Foundations - Prompt Engineering,NA,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-generative-ai-foundations,2026-09-19T00:00:00Z
