training_name,content_type,duration,level,source_url,completion_pct,last_viewed,scraped_at
Prompt Engineering for Human Resources,Course,00:23:44,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-human-resources,100.00%,Sep 07 2026,2026-09-19T00:00:00Z
Prompt Engineering for Cyber Security,Course,00:15:25,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-cyber-security,100.00%,Sep 03 2026,2026-09-19T00:00:00Z
Prompt Engineering for Sales Professionals,Course,00:19:21,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-sales-professionals,100.00%,Sep 01 2026,2026-09-19T00:00:00Z
Prompt Engineering for Customer Support,Course,00:25:01,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-customer-support,100.00%,Aug 31 2026,2026-09-19T00:00:00Z
Prompt Engineering for Marketing,Course,00:26:06,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-marketing,100.00%,Aug 24 2026,2026-09-19T00:00:00Z
Prompt Engineering for IT Administrators,Course,00:19:34,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-it-administrators,100.00%,Aug 21 2026,2026-09-19T00:00:00Z
Prompt Engineering for Web Developers,Course,00:36:51,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-web-developers,100.00%,Aug 20 2026,2026-09-19T00:00:00Z
Prompt Engineering for Business Professionals,Course,00:23:09,Beginner,https://app.pluralsight.com/library/courses/business-professionals-prompt-engineering,100.00%,Aug 17 2026,2026-09-19T00:00:00Z
Prompt Engineering for Operations,Course,00:19:44,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-operations,100.00%,Aug 14 2026,2026-09-19T00:00:00Z
Prompt Engineering for Product Management and Design,Course,00:30:45,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-product-management-design,100.00%,Aug 14 2026,2026-09-19T00:00:00Z
Prompt Engineering for Communications,Course,00:23:57,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-communications,100.00%,Aug 06 2026,2026-09-19T00:00:00Z
Prompt Engineering for Finance,Course,00:23:09,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-finance,100.00%,Aug 03 2026,2026-09-19T00:00:00Z
Prompt Engineering for Data Professionals,Course,00:21:22,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-data-professionals,100.00%,Aug 03 2026,2026-09-19T00:00:00Z
Advanced Prompt Engineering,Course,01:31:18,Advanced,https://app.pluralsight.com/library/courses/advanced-prompt-engineering,100.00%,Aug 02 2026,2026-09-19T00:00:00Z
ChatGPT Prompt Engineering and Evaluation,Lab,,N/A,https://app.pluralsight.com/code-labs/contents/fdb2115a-88fd-440e-bb19-ff1aafb673a4/learn,100.00%,Aug 02 2026,2026-09-19T00:00:00Z
Prompt Engineering Best Practices,Lab,,N/A,https://app.pluralsight.com/code-labs/contents/ff25fd91-fdf8-4bbb-a978-fcb02af77cc4/learn,0.00%,Jul 31 2026,2026-09-19T00:00:00Z
Prompt Engineering for Improved Performance,Course,00:55:55,Beginner,https://app.pluralsight.com/library/courses/improved-performance-prompt-engineering,100.00%,Jul 29 2026,2026-09-19T00:00:00Z
Prompt Engineering Best Practices,Course,01:05:09,Beginner,https://app.pluralsight.com/library/courses/best-practices-prompt-engineering,100.00%,Jul 26 2026,2026-09-19T00:00:00Z
Getting Started on Prompt Engineering with Generative AI,Course,00:48:40,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-generative-ai-getting-started,100.00%,Jul 24 2026,2026-09-19T00:00:00Z
Generative AI Foundations - Prompt Engineering,Course,00:37:38,Beginner,https://app.pluralsight.com/library/courses/prompt-engineering-generative-ai-foundations,100.00%,Jul 18 2026,2026-09-19T00:00:00Z
